tabla;id_registro;id_cliente;estado;columna_den
conceptos;299;1;A;desc_conc_tco
conceptos;498;1;A;desc_conc_tco
conceptos;717;1;A;desc_conc_tco
conceptos;286;1;A;desc_conc_tco
conceptos;444;1;A;desc_conc_tco
conceptos;285;1;A;desc_conc_tco
conceptos;703;1;A;desc_conc_tco
conceptos;704;1;A;desc_conc_tco
conceptos;705;1;A;desc_conc_tco
conceptos;426;1;A;desc_conc_tco
conceptos;427;1;A;desc_conc_tco
conceptos;203;1;A;desc_conc_tco
conceptos;250;1;A;desc_conc_tco
conceptos;292;1;A;desc_conc_tco
conceptos;294;1;A;desc_conc_tco
conceptos;509;1;A;desc_conc_tco
conceptos;291;1;A;desc_conc_tco
conceptos;303;1;A;desc_conc_tco
conceptos;306;1;A;desc_conc_tco
conceptos;312;1;A;desc_conc_tco
conceptos;313;1;A;desc_conc_tco
conceptos;425;1;A;desc_conc_tco
conceptos;275;1;A;desc_conc_tco
conceptos;287;1;A;desc_conc_tco
conceptos;105;1;A;desc_conc_tco
conceptos;201;1;A;desc_conc_tco
conceptos;101;1;A;desc_conc_tco
conceptos;307;1;A;desc_conc_tco
conceptos;505;1;A;desc_conc_tco
conceptos;440;1;A;desc_conc_tco
conceptos;464;1;A;desc_conc_tco
conceptos;180;1;A;desc_conc_tco
conceptos;288;1;A;desc_conc_tco
conceptos;293;1;A;desc_conc_tco
conceptos;107;1;A;desc_conc_tco
conceptos;499;1;A;desc_conc_tco
conceptos;296;1;A;desc_conc_tco
conceptos;497;1;A;desc_conc_tco
conceptos;100;1;A;desc_conc_tco
conceptos;700;1;A;desc_conc_tco
conceptos;308;1;A;desc_conc_tco
conceptos;200;1;A;desc_conc_tco
conceptos;204;1;A;desc_conc_tco
conceptos;108;1;A;desc_conc_tco
conceptos;465;1;A;desc_conc_tco
conceptos;300;1;A;desc_conc_tco
conceptos;506;1;A;desc_conc_tco
conceptos;496;1;A;desc_conc_tco
conceptos;702;1;A;desc_conc_tco
conceptos;298;1;A;desc_conc_tco
conceptos;470;1;A;desc_conc_tco
conceptos;495;1;A;desc_conc_tco
conceptos;441;1;A;desc_conc_tco
