denominacion;estado
SEGURIDAD;1
ADMINISTRACION;1
CONTABILIDAD;1
GERENCIA;1
LOGISTICA;1
OPERACIONES;1
HIELO;1
MANTENIMIENTO;1
CONTROL CALIDAD;1
